"FlowRunName";"Status";"LocalStartTime";"LocalEndTime";"Trigger Property: FolderToBreak";"Trigger Property: FolderToReset";"Trigger Property: Library";"Trigger Property: OwnerGroup";"Trigger Property: SiteURL";"FlowRunLink";"FlowError"
"08585011180323169188382226268CU71";"Succeeded";"11/20/2023 3:00:53 PM";"11/20/2023 3:01:02 PM";"4300-XLPE-RFI-00046-A/Response";"4300-XLPE-RFI-00046-A";"RFI";"4300 B4 XLPE Client Site Members";"https://tecnimont.sharepoint.com/sites/43X4DigitalDocumentsc";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585011180323169188382226268CU71";"N/A"
"08585011171792306855601252111CU90";"Succeeded";"11/20/2023 3:15:06 PM";"11/20/2023 3:15:21 PM";"V-50-TMPK0018 Unidro WWT 50PK2150 CWBT 50PK2155-0";"none";"DeviationList";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4355DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585011171792306855601252111CU90";"N/A"
"08585011170748452815986084075CU71";"Succeeded";"11/20/2023 3:16:50 PM";"11/20/2023 3:17:04 PM";"V-50-TMPK0018 Unidro WWT 50PK2150 CWBT 50PK2155-0/Response";"V-50-TMPK0018 Unidro WWT 50PK2150 CWBT 50PK2155-0";"DeviationList";"FTAEvolutionClientOperators";"https://tecnimont.sharepoint.com/sites/4355DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585011170748452815986084075CU71";"N/A"
"08585011170146467224569627211CU63";"Succeeded";"11/20/2023 3:17:50 PM";"11/20/2023 3:18:06 PM";"V-50-TMPK0022 Unidro Remi 50PK2001-0";"none";"DeviationList";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4355DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585011170146467224569627211CU63";"N/A"
"08585011169556941870894741459CU69";"Succeeded";"11/20/2023 3:18:49 PM";"11/20/2023 3:19:01 PM";"V-50-TMPK0022 Unidro Remi 50PK2001-0/Response";"V-50-TMPK0022 Unidro Remi 50PK2001-0";"DeviationList";"FTAEvolutionClientOperators";"https://tecnimont.sharepoint.com/sites/4355DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585011169556941870894741459CU69";"N/A"
"08585011168784353209804062690CU65";"Succeeded";"11/20/2023 3:20:07 PM";"11/20/2023 3:20:18 PM";"V-50-TMPK0023 Unidro Demi 50PK5050-0";"none";"DeviationList";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4355DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585011168784353209804062690CU65";"N/A"
"08585011168405790708186321031CU61";"Succeeded";"11/20/2023 3:20:44 PM";"11/20/2023 3:20:56 PM";"V-50-TMPK0023 Unidro Demi 50PK5050-0/Response";"V-50-TMPK0023 Unidro Demi 50PK5050-0";"DeviationList";"FTAEvolutionClientOperators";"https://tecnimont.sharepoint.com/sites/4355DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585011168405790708186321031CU61";"N/A"
"08585011148009113069322466091CU56";"Succeeded";"11/20/2023 3:54:44 PM";"11/20/2023 3:54:52 PM";"ZEECO (AS) 0140.01-IN-029 W-R-0";"none";"INSPNOTIFStaticEQP";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585011148009113069322466091CU56";"N/A"
"08585011147649941701702919157CU214";"Succeeded";"11/20/2023 3:55:20 PM";"11/20/2023 3:55:28 PM";"ZEECO (AS) 0140.01-IN-029 W-R-0/Response";"ZEECO (AS) 0140.01-IN-029 W-R-0";"INSPNOTIFStaticEQP";"4305DigitalDocumentsC Members";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585011147649941701702919157CU214";"N/A"
"08585011146815969527902214773CU65";"Succeeded";"11/20/2023 3:56:43 PM";"11/20/2023 3:56:51 PM";"ZEECO (CRANE) 0140.01-IN-030 W-R-0";"none";"INSPNOTIFStaticEQP";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585011146815969527902214773CU65";"N/A"
"08585011146295263661314464379CU57";"Succeeded";"11/20/2023 3:57:35 PM";"11/20/2023 3:57:45 PM";"ZEECO (CRANE) 0140.01-IN-030 W-R-0/Response";"ZEECO (CRANE) 0140.01-IN-030 W-R-0";"INSPNOTIFStaticEQP";"4305DigitalDocumentsC Members";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585011146295263661314464379CU57";"N/A"
